Table_name,Table_description,Field_name,Field_description,Mapping
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",PainControlateralKnee,010 Numerical Rating Scale of Pain,['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",PainBack,010 Numerical Rating Scale of Pain,['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",PainStump,010 Numerical Rating Scale of Pain,['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",PainPhantomLimb,010 Numerical Rating Scale of Pain,['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",10-meter Timed Walking Test (TWT),Test to assess locomotor capacity in clinical and research settings. Outcome measures are time taken to complete the test and the number of steps,['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",Diabetes,"If the patient has the diabetes or not (i.e., True or False)",['Condition']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",KneeModel_string,Commercial name of knee model,"['Device.identifier']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",ProstheticKnee,Commercial name of knee model,"['Device.deviceName']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",Manufacturer,Manufacturer of the prosthetic knee,"['Device.manufacturer']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",ManualLock,"If the prosthetic knee can be manually locked or not (i.e., 1=yes, 0=no)","['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",Polycentric,"If the prosthetic knee is polycentric or not (i.e., 1=yes, 0=no)","['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",HydraulicPneumaticControl,"Ifr the prosthetic knee has a hydraulic or pneumatic control or not (i.e., 1=yes, 0=no)","['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",MPK,"If the prosthetic knee is microprocessor-controlled or not (i.e., 1=yes, 0=no)","['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",Weight,Prosthetic knee weight (kg),"['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",PatientMaximumWeight,Maximum weight of the person that can be supported by the prosthesis (kg),"['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",PatientActivityLevel,Activity level of the patient appropriate for that specifici prosthetic knee (expressed either in terms of K-level or in natural language),"['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",Link,URL to prosthetic knee website,"['Device.contact']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",Quality,"Knee category (i.e., AMK, FK, LF, MPK)","['Device.property']"
Fall,"This table presents 146 entries on information about falls experienced by the patients during their hospital stays: date, whether the patient was wearing a prosthetic knee or not, reported injuries, whether it was a near fall45, or the activity carried out at the moment of falling.",FallDate,When the fall occurred,['AdverseEvent.occurrence']
Drug,This table lists 3032 entries about all the drugs administered to the patients during their hospital stays. Each hospital stay is identified by the patient anonymous ID and the hospital admission date. Each drug is identified by its trade name in Italy and is associated to the ATC code of its main active ingredient.,DrugTradename,Trade name of the medication,['MedicationRequest.identifier']
Drug,This table lists 3032 entries about all the drugs administered to the patients during their hospital stays. Each hospital stay is identified by the patient anonymous ID and the hospital admission date. Each drug is identified by its trade name in Italy and is associated to the ATC code of its main active ingredient.,ATC,Anatomical Therapeutic Chemica (ATC) code,['MedicationRequest.code']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",LCIInitialDate,LCI administration date at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",LCIInitialScore,LCI score at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",LCIDischargeDate,LCI administration date at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",LCIDischargeScore,LCI score at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPAdmissionDate,AMP administration date at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPAdmissionProNopro,Use of prosthesis (AMPPRO) or without (AMPnoPRO) in fulfilling the questionnaire at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPAdmissionScore,AMP general score at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",KlevelAdmission,K-level value at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPDischargeDate,AMP administration date at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPDischargeProNopro,Use of prosthesis (AMPPRO) or without (AMPnoPRO) in fulfilling the questionnaire at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPDischargeScore,AMP general score at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",KlevelDischarge,K-level value at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionDate,Morse administration date at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionHfall,History of falling at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionPathologies,Secondary Pathologies Assessment at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionMobility,"Mobility assessment (e.g. walking aid, rollator, crutches, etc) at admission","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionEndovenous,Adoption of intravenous therapy/heparin lock at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionTransfer,"Gait assessment (e.g. curve posture, low balance, abnormal, etc.) at admission","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionMental,Mental status assessment at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionTotalScore,Overall Morse score at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeDate,Morse administration date at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeHfall,History of falling at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargePathologies,Secondary Pathologies Assessment at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeMobility,"Mobility assessment (e.g. walking aid, rollator, crutches, etc) at discharge","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeEndovenous,Adoption of intravenous therapy/heparin lock at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeTransfer,"Gait assessment (e.g. curve posture, low balance, abnormal, etc.) at discharge","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeMental,Mental status assessment at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeTotalScore,Overall Morse score at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeDate,Morse administration date at change,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeHfall,History of falling at change,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangePathologies,Secondary Pathologies Assessment at change,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeMobility,"Mobility assessment (e.g. walking aid, rollator, crutches, etc) at change","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeEndovenous,Adoption of intravenous therapy/heparin lock at change,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeTransfer,"Gait assessment (e.g. curve posture, low balance, abnormal, etc.) at change","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeMental,Mental status assessment at change,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeTotalScore,Overall Morse score at change,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTInitialDate,TWT execution date at baseline,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTInitialTime_m,TWT perfomance time at baseline (mean between two trials),"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTInitialSteps_m,TWT perfomance number of steps at baseline (mean between two trials),"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTDischargeDate,TWT execution date at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTDischargeTime_m,TWT performance time at discharge (mean between two trials),"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTDischargeSteps_m,TWT performance number of steps at discharge (mean between two trials),"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionDate,Barthel administration date at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionHygiene,Need assistance on grooming (i.e. personal care) at admission,"['Questionnaire', 'QuestionnaireResponse']"
