Table_name,Table_description,Field_name,Field_description,Mapping
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",PainControlateralKnee,010 Numerical Rating Scale of Pain,['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",PainBack,010 Numerical Rating Scale of Pain,['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",PainStump,010 Numerical Rating Scale of Pain,['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",PainPhantomLimb,010 Numerical Rating Scale of Pain,['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",10-meter Timed Walking Test (TWT),Test to assess locomotor capacity in clinical and research settings. Outcome measures are time taken to complete the test and the number of steps,['Observation.value']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",Diabetes,"Indicates whether the patient has a documented diagnosis of diabetes at the time of the inpatient admission.",['Condition']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",KneeModel_string,Commercial name of knee model,"['Device.identifier']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",ProstheticKnee,Commercial name of knee model,"['Device.deviceName']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",Manufacturer,Manufacturer of the prosthetic knee,"['Device.manufacturer']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",ManualLock,"If the prosthetic knee can be manually locked or not (i.e., 1=yes, 0=no)","['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",Polycentric,"If the prosthetic knee is polycentric or not (i.e., 1=yes, 0=no)","['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",HydraulicPneumaticControl,"Ifr the prosthetic knee has a hydraulic or pneumatic control or not (i.e., 1=yes, 0=no)","['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",MPK,"If the prosthetic knee is microprocessor-controlled or not (i.e., 1=yes, 0=no)","['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",Weight,Prosthetic knee weight (kg),"['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",PatientMaximumWeight,Maximum weight of the person that can be supported by the prosthesis (kg),"['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",PatientActivityLevel,"Functional mobility level (K1–K4) that this prosthetic knee is designed to support, expressed either as a K-level classification or equivalent descriptive terminology.","['Device.property']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",Link,URL to prosthetic knee website,"['Device.contact']"
ProstheticKnee,"This table provides technical features for about 40 distinct prosthetic knee models employed by the patients during their hospital stays. Technical features include name of the manufacturer, possibility to manually lock the knee, polycentric design, hydraulic or pneumatic control, electronic (microprocessor) control, knee category (i.e., AMK, FK, LK, or MPK), weight of the device, maximum weight allowed for the patient, patient activity level, and link to the manufacturer’s webpage.",Quality,"Prosthetic Knee category (i.e., AMK, FK, LF, MPK)","['Device.property']"
Fall,"This table presents 146 entries on information about falls experienced by the patients during their hospital stays: date, whether the patient was wearing a prosthetic knee or not, reported injuries, whether it was a near fall45, or the activity carried out at the moment of falling.",FallDate,When the fall occurred,['AdverseEvent.occurrence']
Drug,This table lists 3032 entries about all the drugs administered to the patients during their hospital stays. Each hospital stay is identified by the patient anonymous ID and the hospital admission date. Each drug is identified by its trade name in Italy and is associated to the ATC code of its main active ingredient.,DrugTradename,Trade name of the medication,['MedicationRequest.identifier']
Drug,This table lists 3032 entries about all the drugs administered to the patients during their hospital stays. Each hospital stay is identified by the patient anonymous ID and the hospital admission date. Each drug is identified by its trade name in Italy and is associated to the ATC code of its main active ingredient.,ATC,Anatomical Therapeutic Chemica (ATC) code,['MedicationRequest.code']
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",LCIInitialDate,"Date on which the questionnaire ""LCI-5"" was administered at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",LCIInitialScore,"Numerical result obtained on the questionnaire ""LCI-5"" at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",LCIDischargeDate,"Date on which the questionnaire ""LCI-5"" was administered at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",LCIDischargeScore,"Numerical result obtained on the questionnaire ""LCI-5"" at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPAdmissionDate,"Date on which the questionnaire ""AMP"" was administered at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPAdmissionProNopro,Use of prosthesis (AMPPRO) or without (AMPnoPRO) in fulfilling the questionnaire at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPAdmissionScore,"General score obtained on the questionnaire ""AMP"" at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",KlevelAdmission,"K-value derived from the patient's answers to the structured questionnaire AMP (Amputee Mobility Predictor) at admission (T1)","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPDischargeDate,"Date on which the questionnaire ""AMP"" was administered to the patient at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPDischargeProNopro,Use of prosthesis (AMPPRO) or without (AMPnoPRO) in fulfilling the questionnaire at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",AMPDischargeScore,"General score obtained on the questionnaire ""AMP"" at discharge (T2).

","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",KlevelDischarge,"K-level value derived from the answers collected through the structured set of questions of the AMP at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionDate,Date on which the structured set of questions of the Morse Fall Scale was collected from the patient at admission (T0).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionHfall,"Answer to the question about history of falling, as part of the structured set of questions of the AMP at admission (T0). ","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionPathologies,"Answer to the question about secondary pathologies, as part of the structured set of questions of the Morse Fall Scale at admission (T0).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionMobility,"Answer collected to the question about mobility status and use of walking aids (e.g. rollator, crutches), as part of the structured set of questions of the Morse Fall Scale at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionEndovenous,"Answer collected to the question about adoption of intravenous therapy or heparin lock, as part of the structured set of questions of the Morse Fall Scale at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionTransfer,"Answer collected from the patient to the question about gait status (e.g. curve posture, low balance, abnormal gait), as part of the structured set of questions of the Morse Fall Scale at admission (T0).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionMental,"Answer collected from the patient to the question about mental status, as part of the structured set of questions of the Morse Fall Scale at admission (T0).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseAdmissionTotalScore,Overall score derived from the answers collected through the structured set of questions of the Morse Fall Scale at admission (T0).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeDate,Date on which the structured set of questions of the Morse Fall Scale was collected from the patient at discharge (T2).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeHfall,"Answer collected from the patient to the question about history of falling, as part of the structured set of questions of the Morse Fall Scale at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargePathologies,"Answer collected from the patient to the question about secondary pathologies, as part of the structured set of questions of the Morse Fall Scale at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeMobility,"Answer collected from the patient to the question about mobility status and use of walking aids (e.g. rollator, crutches), as part of the structured set of questions of the Morse Fall Scale at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeEndovenous,"Answer collected from the patient to the question about adoption of intravenous therapy or heparin lock, as part of the structured set of questions of the Morse Fall Scale at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeTransfer,"Answer collected from the patient to the question about gait status (e.g. curve posture, low balance, abnormal gait), as part of the structured set of questions of the Morse Fall Scale at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeMental,"Answer collected from the patient to the question about mental status, as part of the structured set of questions of the Morse Fall Scale at discharge (T2).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseDischargeTotalScore,Overall score derived from the answers collected through the structured set of questions of the Morse Fall Scale at discharge (T2).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeDate,Date on which the structured set of questions of the Morse Fall Scale was collected from the patient at change (T1).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeHfall,"Answer collected from the patient to the question about history of falling, as part of the structured set of questions of the Morse Fall Scale at change (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangePathologies,"Answer collected from the patient to the question about secondary pathologies, as part of the structured set of questions of the Morse Fall Scale at change (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeMobility,"Answer collected from the patient to the question about mobility status and use of walking aids (e.g. rollator, crutches), as part of the structured set of questions of the Morse Fall Scale at change (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeEndovenous,"Answer collected to the question about adoption of intravenous therapy or heparin lock, as part of the structured set of questions of the Morse Fall Scale at change (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeTransfer,"Answer collected to the question about gait status (e.g. curve posture, low balance, abnormal gait), as part of the structured set of questions of the Morse Fall Scale at change (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeMental,"Answer collected from the patient to the question about mental status, as part of the structured set of questions of the Morse Fall Scale at change (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",MorseChangeTotalScore,Overall score derived from the answers collected through the structured set of questions of the Morse Fall Scale at change (T1).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTInitialDate,Date on which the structured set of questions of the Timed Walking Test (TWT) was collected from the patient at baseline.,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTInitialTime_m,Mean performance time between two trials derived from the answers collected through the structured set of questions of the Timed Walking Test (TWT) at baseline.,"['Questionnaire', 'QuestionnaireResponse']"
